id,segment,discount,age,tenure_months,income_index,web_visits_30d,leak_after_offer,purchase,unit_margin_if_buy,discount_bucket
65,B,21.777622013930326,44,5,1.027,2,0,1,31.517,22
66,C,2.6586877920504497,53,87,1.255,5,0,0,39.22,3
67,B,0.6504565199229031,32,104,1.104,5,1,0,40.029,1
68,C,17.203164661431998,54,115,1.105,7,1,0,33.36,17
69,C,6.74357602055392,48,44,0.847,1,1,0,37.574,7
70,C,12.928299463735707,41,97,1.245,7,0,0,35.082,13
71,A,15.651510501524804,50,87,0.989,4,0,1,33.985,16
72,C,11.791319342155058,56,85,0.882,3,0,0,35.54,12
73,B,8.779612004224557,69,8,0.75,4,0,0,36.754,9
74,C,12.030998623698297,30,116,1.299,3,1,0,35.444,12
75,A,12.034502850186357,36,56,0.598,1,0,0,35.442,12
76,A,21.639838319691822,44,114,1.268,2,0,1,31.572,22
77,C,9.89469129919157,61,116,1.451,1,0,0,36.305,10
78,B,10.208095660693276,33,33,0.982,2,0,1,36.178,10
79,B,20.257645504661824,46,80,0.995,5,1,0,32.129,20
80,B,10.147260866577303,24,83,1.113,8,0,0,36.203,10
81,B,5.242215413273115,44,101,0.73,3,1,0,38.179,5
82,A,11.501107785969957,54,93,1.253,1,0,0,35.657,12
83,C,9.720235125541368,24,89,1.157,7,0,0,36.375,10
84,B,21.072618349763587,58,98,0.884,4,1,1,31.801,21
85,A,24.64893726582909,68,118,0.912,5,0,1,30.36,25
86,A,13.781459821615051,69,74,0.576,4,0,0,34.738,14
87,B,14.025283887661551,38,14,1.489,2,1,1,34.64,14
88,C,5.938802003739475,37,89,0.751,6,0,0,37.898,6
89,B,15.674175377541598,22,117,1.563,4,0,1,33.976,16
90,B,3.0626371399858847,58,63,0.873,8,0,0,39.057,3
91,B,27.931775759807316,22,96,1.207,2,0,1,29.037,28
92,A,12.437635110848301,33,109,1.112,3,0,1,35.28,12
93,A,19.193709067837236,54,9,1.067,1,1,1,32.558,19
94,B,18.364142431000538,56,103,0.293,3,1,0,32.892,18
95,A,21.016298945080273,22,111,1.171,2,1,1,31.823,21
96,B,16.147274880970915,57,50,1.134,6,0,1,33.785,16
97,B,6.417408712804839,35,45,0.984,7,0,0,37.706,6
98,B,6.425568327270623,45,68,1.426,6,0,0,37.702,6
99,C,9.711858129361534,22,18,0.667,1,1,0,36.378,10
100,B,21.465335132215575,39,13,0.886,3,0,1,31.643,21
101,A,12.460042262507407,30,10,1.158,3,0,1,35.271,12
102,C,10.58352451049327,28,92,0.958,1,0,0,36.027,11
103,A,12.042770100172747,20,67,0.504,2,0,1,35.439,12
104,A,21.8499761378846,48,116,0.83,4,1,1,31.488,22
105,B,22.079026765303468,44,31,1.009,5,1,1,31.395,22
106,B,21.264325380516876,59,39,0.2,11,1,1,31.724,21
107,C,8.19517684895677,59,112,0.601,5,0,0,36.989,8
108,B,1.7672522698982203,32,51,1.136,2,0,0,39.579,2
109,B,3.20173879787866,24,21,0.798,4,0,0,39.001,3
110,A,12.660166239931488,47,7,0.708,4,0,1,35.19,13
111,C,10.899863756612323,18,64,1.254,0,1,0,35.9,11
112,A,12.461513269056573,56,86,1.06,6,0,1,35.27,12
113,A,18.412360239589088,22,33,1.347,4,1,1,32.873,18
114,A,8.018024925992481,43,92,0.816,3,0,0,37.061,8
115,B,11.365327420593376,50,29,1.263,3,0,1,35.712,11
116,C,5.3066183823207105,20,102,0.263,1,0,0,38.153,5
117,A,20.64623734023062,43,43,1.569,3,0,1,31.973,21
118,B,7.553317937695037,60,36,1.164,7,0,0,37.248,8
119,C,8.719787264985195,37,48,0.936,5,0,0,36.778,9
120,A,24.946966964806478,22,21,0.964,5,1,0,30.24,25
121,A,18.54184684630363,64,70,0.616,3,1,1,32.82,19
122,B,12.518309495486612,45,5,1.451,3,0,0,35.247,13
123,B,24.634610472479807,25,16,1.293,6,1,1,30.366,25
124,B,18.704392730047214,30,51,0.665,2,0,1,32.755,19
125,A,19.860086150100408,65,2,1.332,4,0,0,32.289,20
126,B,12.655333144656774,60,24,1.266,3,0,0,35.192,13
127,C,8.034108668137023,27,112,1.364,2,0,0,37.054,8
128,B,23.524160747747143,64,72,1.039,6,1,1,30.813,24
129,B,18.11653593670468,31,104,1.536,1,1,0,32.992,18
130,B,9.926191406718242,32,9,1.248,9,1,0,36.292,10
131,B,1.3765888764209375,20,44,0.816,7,0,0,39.737,1
132,B,16.346871352684218,24,7,1.116,5,1,0,33.705,16
133,B,18.258248840301572,18,94,0.738,4,0,0,32.935,18
134,B,28.091161498495694,62,1,1.034,5,0,1,28.973,28
135,B,15.462929919971476,19,86,1.029,4,0,0,34.061,15
136,B,12.307579907222657,44,18,0.807,5,0,1,35.332,12
137,B,19.763637996263377,50,5,0.2,5,1,0,32.328,20
138,C,8.567140108052632,34,25,0.936,9,0,1,36.839,9
139,C,6.794376941498404,41,31,1.54,7,0,0,37.554,7
140,C,8.983508051452324,51,29,1.032,6,0,0,36.672,9
141,B,11.804664446819418,22,106,1.161,6,1,0,35.535,12
142,B,14.930159483656805,61,63,0.711,3,0,0,34.276,15
143,A,22.175671213153194,24,15,0.595,7,0,0,31.356,22
144,C,9.310161784438108,48,52,0.753,4,0,0,36.54,9
145,C,8.10072984828393,43,15,0.672,4,0,0,37.027,8
146,C,6.407969704717356,66,72,1.275,1,0,0,37.709,6
147,B,7.632566022164068,49,88,1.603,7,0,0,37.216,8
148,A,10.383763501572178,27,12,1.059,4,0,0,36.107,10
149,B,9.417368565623008,36,3,0.593,3,0,0,36.497,9
150,A,24.122451251871507,27,1,1.643,3,0,1,30.572,24
151,B,6.4317111860308245,63,119,1.383,6,0,0,37.7,6
152,A,20.589845553866535,39,55,1.067,8,0,1,31.995,21
153,A,16.647896036849925,32,53,1.305,3,0,0,33.584,17
154,A,24.701247499985506,67,26,1.816,6,1,1,30.339,25
155,A,6.016909023884077,47,106,1.465,4,0,0,37.867,6
156,B,15.818614109734138,65,54,0.911,3,0,0,33.918,16
157,A,14.639478428763166,33,115,1.264,0,0,0,34.393,15
158,C,6.0766560011449045,24,47,0.986,6,0,0,37.843,6
159,A,12.427088109099625,50,84,1.484,2,0,0,35.284,12
160,C,9.233346337402832,36,69,1.125,4,0,0,36.571,9
161,B,18.771096173621935,22,82,0.2,5,0,1,32.728,19
162,A,14.824312825548203,41,87,1.418,6,1,0,34.318,15
163,B,0.9314032153265135,46,92,1.123,6,0,0,39.916,1
164,B,19.828402057326375,56,69,1.273,3,0,1,32.302,20
165,A,13.38402196347144,66,74,1.103,2,1,0,34.899,13
166,A,20.975476089555556,58,89,0.759,3,0,0,31.84,21
167,B,18.577640642105575,45,9,0.964,2,1,0,32.806,19
168,B,10.238107919887598,69,119,0.98,1,0,0,36.166,10
169,B,14.975921635524852,35,47,1.067,1,0,1,34.257,15
170,A,18.982501772306456,53,60,1.519,5,1,1,32.643,19
171,C,11.061776371983974,51,103,1.503,3,0,0,35.834,11
172,C,12.56504044098867,34,51,0.507,3,0,0,35.229,13
173,B,6.737993326488841,44,79,0.413,9,1,0,37.576,7
174,B,20.408868841315897,42,92,1.1,7,1,1,32.068,20
175,C,9.9591331818791,50,88,0.357,6,0,0,36.279,10
176,C,12.527836945947255,40,72,0.909,3,0,0,35.244,13
177,C,12.820690539423357,27,118,0.921,4,0,0,35.126,13
178,B,13.606653008025946,33,37,0.826,2,0,0,34.809,14
179,B,17.56790020925331,50,31,1.197,2,0,0,33.213,18
180,B,30.0,30,38,0.475,5,1,1,28.204,30
181,C,14.934677142880528,52,96,0.392,3,0,1,34.274,15
182,B,12.905572270458414,20,77,1.098,6,0,0,35.091,13
183,B,2.8003672116216514,63,54,1.393,6,0,0,39.163,3
184,B,9.572946552407299,45,15,1.074,7,1,0,36.434,10
185,A,15.64261724118423,56,100,0.629,1,0,0,33.989,16
186,A,17.31888528457908,42,97,0.871,5,0,0,33.313,17
187,B,22.703033774844744,27,22,0.85,5,0,1,31.144,23
188,B,22.697324577837044,23,98,1.91,1,1,1,31.146,23
189,B,1.4868358880821813,47,56,1.183,6,0,0,39.692,1
190,C,3.5919185318535414,51,106,1.409,1,0,0,38.844,4
191,A,16.41006302514438,46,26,0.937,4,1,1,33.679,16
192,B,7.5974874864221755,39,12,0.432,4,0,0,37.23,8
193,A,12.11414823307433,19,57,1.315,7,0,0,35.41,12
194,B,15.384913986424507,33,101,1.273,3,0,1,34.092,15
195,B,3.3765706221351746,52,114,1.182,3,0,0,38.931,3
196,A,13.551646833335708,19,111,1.031,6,0,0,34.831,14
197,A,13.444071645185089,42,26,0.746,6,0,0,34.874,13
198,B,16.74758925414066,51,34,0.601,4,0,0,33.543,17
199,C,2.2075888950106677,58,90,0.929,2,0,0,39.402,2
200,C,9.970177697443187,46,49,0.546,5,0,0,36.274,10
201,A,11.161901130418752,38,18,0.77,3,0,0,35.794,11
202,A,7.858707563328158,44,40,1.065,6,0,0,37.125,8
203,B,14.746121242006653,37,43,0.951,4,0,0,34.35,15
204,C,10.082597779016426,35,87,0.457,5,0,0,36.229,10
205,A,20.81597483431866,59,89,0.583,4,1,1,31.904,21
206,C,4.4252894635590385,54,4,0.836,6,0,0,38.508,4
207,A,12.268234832771928,67,32,1.12,5,0,0,35.348,12
208,A,7.205482016633551,69,89,1.573,2,0,0,37.388,7
209,B,10.07645438952049,48,39,0.759,4,0,0,36.231,10
210,B,13.090044987765634,57,85,1.169,6,0,0,35.017,13
211,B,23.695806147790343,30,100,0.68,3,1,1,30.744,24
212,B,22.888612365631833,49,6,1.243,2,1,1,31.069,23
213,B,13.832178373442936,47,44,0.86,3,0,0,34.718,14
214,A,12.354178665428206,66,10,0.888,7,0,1,35.314,12
215,B,13.605036000566201,51,52,0.883,8,1,0,34.81,14
216,B,20.386398683888444,32,97,1.233,2,0,1,32.077,20
217,B,18.27331297315774,32,52,1.224,3,0,1,32.929,18
218,B,9.4806736966637,64,41,1.066,3,1,0,36.471,9
219,B,12.902538353026184,49,117,1.087,1,1,0,35.093,13
220,A,7.93496401064815,29,37,0.874,4,1,0,37.094,8
221,C,2.6130086112673343,50,29,0.691,4,0,0,39.238,3
222,B,8.71653981417019,30,4,1.374,6,0,0,36.779,9
223,B,9.737031856669939,59,21,1.036,5,0,0,36.368,10
224,B,21.40525680046929,56,28,1.181,7,1,1,31.667,21
225,B,15.508621107235584,19,65,1.075,4,1,0,34.043,16
226,C,8.222243188619107,49,17,1.031,1,0,0,36.978,8
227,B,17.685958099060624,54,27,1.304,3,0,1,33.165,18
228,C,15.968013897049438,64,43,1.014,3,1,0,33.857,16
229,C,10.239096057959337,33,68,0.51,5,0,0,36.166,10
230,B,3.174927885204095,39,50,1.014,4,0,0,39.012,3
231,B,5.534266020283324,58,87,1.512,2,0,0,38.061,6
232,A,16.807569905122058,23,46,1.277,4,0,0,33.519,17
233,A,18.345383392396908,55,16,1.25,2,0,1,32.9,18
234,A,21.82892524855663,41,52,1.327,4,0,1,31.496,22
235,B,8.771603187395524,26,47,1.043,6,0,0,36.757,9
236,B,20.43655626657135,31,95,1.072,4,0,1,32.057,20
237,B,7.6289844561043445,32,42,1.481,6,0,0,37.217,8
238,A,13.728783721676079,63,70,0.755,4,1,0,34.76,14
239,A,1.494364057926818,68,48,0.324,4,0,0,39.689,1
240,A,16.948886742650128,39,93,0.828,3,0,0,33.462,17
241,B,22.184596661811185,29,6,0.887,6,1,1,31.353,22
242,C,8.613452011377678,34,19,1.163,2,0,0,36.821,9
243,A,13.64896276610132,64,94,0.659,0,0,0,34.792,14
244,A,23.358064327683344,66,70,1.396,6,0,1,30.88,23
245,B,0.0,59,66,1.087,2,0,0,40.291,0
246,A,13.328972230052921,35,54,1.085,6,0,0,34.921,13
247,B,11.52803171570145,59,34,0.972,6,0,0,35.646,12
248,B,10.358742466431892,29,15,1.117,5,0,0,36.118,10
249,A,8.390434931918431,50,25,1.112,2,0,0,36.911,8
250,B,9.079623073573574,63,17,0.629,3,0,0,36.633,9
251,B,12.48423145425459,53,104,0.797,4,0,0,35.261,12
252,C,6.7773660240892015,51,51,1.246,4,0,0,37.561,7
253,C,10.190859997743333,51,56,0.696,2,1,0,36.185,10
254,A,13.859757716292862,34,17,0.525,4,0,0,34.707,14
255,A,15.934415406927869,36,43,1.068,9,0,0,33.871,16
256,A,14.724587543029912,23,14,0.988,4,1,0,34.358,15
257,A,12.937784379837609,63,97,1.479,5,0,0,35.078,13
258,A,13.847500398669238,61,94,0.821,7,0,0,34.712,14
259,A,16.423272041574545,21,96,0.878,8,0,0,33.674,16
260,A,8.700281595928859,49,98,0.9,3,0,0,36.786,9
261,A,9.470868257012917,46,65,0.547,1,0,0,36.475,9
262,B,11.556520117105494,26,51,0.81,5,0,0,35.635,12
263,A,20.111905263655782,55,25,1.374,4,1,1,32.188,20
264,C,5.672888355441219,44,44,1.076,8,0,0,38.006,6
265,B,7.19735168028256,55,73,1.017,1,0,0,37.391,7
266,B,6.463512782711331,68,106,1.328,7,0,0,37.687,6
267,A,13.696719200037888,54,78,0.949,1,0,0,34.773,14
268,B,9.968711442940652,30,42,1.037,1,0,0,36.275,10
269,B,16.51961847188307,53,3,1.62,1,0,1,33.635,17
270,B,9.676099258172247,23,54,1.629,4,0,0,36.393,10
271,A,11.884349491553554,54,21,2.119,9,0,0,35.503,12
272,C,15.00538865895717,66,91,0.854,1,0,0,34.245,15
273,B,15.123444337013382,58,56,0.825,4,0,1,34.198,15
274,B,9.154604989744165,38,57,0.78,6,0,0,36.603,9
275,A,14.61983362426376,42,86,1.164,6,0,1,34.401,15
276,B,19.450099585287898,18,41,0.816,3,1,1,32.455,19
277,A,16.533520572614304,51,96,1.312,5,0,0,33.63,17
278,B,0.6298030126578684,59,42,1.37,4,0,0,40.037,1
279,B,5.397522447514313,41,30,0.951,2,1,0,38.116,5
280,A,8.688178788432207,68,45,1.25,6,0,0,36.791,9
281,C,7.336772588362932,32,30,1.644,5,1,0,37.335,7
282,A,17.71278853314155,45,115,1.595,3,0,1,33.155,18
283,A,16.554219273860994,30,42,1.316,1,1,0,33.621,17
284,C,7.588346083979086,65,100,1.816,4,0,0,37.234,8
285,C,10.337663812540319,21,15,0.865,6,0,0,36.126,10
286,C,14.621402969463976,69,39,1.707,3,1,0,34.4,15
287,A,10.947703035919773,46,84,1.175,6,0,0,35.88,11
288,A,16.26286216281822,57,74,0.661,5,0,0,33.739,16
289,B,14.509180267668059,44,106,1.413,9,0,1,34.445,15
290,B,11.33351759361066,34,114,0.409,2,0,0,35.725,11
291,B,7.079374721721637,58,35,0.64,5,1,0,37.439,7
292,A,30.0,34,52,0.911,3,0,1,28.204,30
293,B,11.66930690906916,53,67,0.908,4,0,0,35.59,12
294,B,9.650754064885751,48,97,1.036,4,0,1,36.403,10
295,B,15.172534676727246,27,2,0.458,6,1,1,34.178,15
296,A,19.49974935322075,41,70,0.254,4,0,1,32.435,19
297,A,17.67967785247418,37,72,1.153,0,1,1,33.168,18
298,B,0.0,56,58,0.703,3,0,0,40.291,0
299,A,14.886611193172099,39,117,0.595,6,1,0,34.293,15
300,A,19.24467602866705,39,48,0.324,4,0,0,32.537,19
301,B,16.80891623474124,49,112,0.752,5,0,1,33.519,17
302,B,20.174016954707646,68,15,0.926,2,1,1,32.163,20
303,C,12.533156633292013,27,54,1.314,10,0,0,35.241,13
304,B,10.609935837595469,33,56,1.298,5,1,0,36.016,11
305,B,15.255270231255942,37,115,1.152,4,0,0,34.145,15
306,B,10.872051479547629,33,29,0.815,6,0,0,35.911,11
307,A,27.928855742578264,38,100,1.242,5,1,1,29.038,28
308,A,16.62035124277784,26,38,0.883,6,0,1,33.595,17
309,B,14.04724852327795,18,65,1.301,9,1,0,34.631,14
310,B,12.96834534714519,37,105,1.161,4,1,0,35.066,13
311,B,10.569843151247344,48,36,0.779,4,0,0,36.032,11
312,B,6.574220430657997,26,105,0.489,5,1,0,37.642,7
313,B,12.285366399771972,25,6,1.411,7,0,0,35.341,12
314,A,8.219819909862533,50,33,0.321,7,0,0,36.979,8
315,A,21.595098648138958,52,37,1.38,3,1,1,31.59,22
316,C,10.460188202975159,56,40,1.439,10,0,0,36.077,10
317,A,3.35346545961227,51,113,0.931,2,0,0,38.94,3
318,A,15.203148157444705,57,94,1.271,3,0,1,34.166,15
319,B,16.88231306772409,57,13,1.831,5,0,0,33.489,17
320,B,23.626241660980597,23,51,0.412,5,1,1,30.772,24
321,B,20.428332211070977,23,43,1.656,6,1,1,32.06,20
322,A,12.140643581155128,28,27,1.235,4,0,1,35.4,12
323,C,11.72392404900774,60,90,0.904,5,0,0,35.567,12
324,A,17.158289112718272,33,29,1.201,6,1,0,33.378,17
325,A,19.675280679608704,35,105,0.535,0,0,1,32.364,20
326,A,14.30993869620582,52,94,1.11,4,0,1,34.526,14
327,A,13.897836988404183,66,83,0.298,6,0,0,34.692,14
328,C,8.656085045983936,58,18,1.18,3,0,0,36.804,9
329,B,21.12841604362967,35,29,1.097,4,1,0,31.778,21
330,B,24.80676038433118,55,18,0.2,2,1,1,30.296,25
331,B,19.855135154593192,38,27,0.953,6,0,1,32.291,20
332,C,4.915096287878165,22,72,0.652,3,0,0,38.311,5
333,A,23.37167270248061,45,36,0.592,4,0,1,30.874,23
334,B,11.029737170041338,57,50,1.18,6,1,0,35.847,11
335,B,14.468108403203173,67,25,0.909,7,1,0,34.462,14
336,A,13.644613032422146,39,20,1.544,3,0,0,34.794,14
337,B,13.424423814555071,34,57,0.765,2,0,0,34.882,13
338,B,5.4083057654560704,30,38,0.917,0,0,0,38.112,5
339,A,14.817801683440074,31,31,1.237,4,1,0,34.321,15
340,B,24.683811446565286,69,83,0.861,3,1,1,30.346,25
341,A,13.734258475204934,23,43,0.803,5,1,0,34.758,14
342,B,3.954333796755895,41,102,0.439,4,0,0,38.698,4
343,B,14.518653424664528,39,90,0.984,5,1,0,34.441,15
344,B,8.936683721355923,65,84,1.697,2,0,0,36.691,9
345,A,11.689533847789143,61,23,1.186,3,0,0,35.581,12
346,B,14.522807506765592,57,93,0.578,5,0,0,34.44,15
347,A,17.07648128191076,19,45,1.158,2,0,1,33.411,17
348,A,16.628540521087373,35,111,1.516,7,0,0,33.591,17
349,B,5.531465168122478,29,2,1.468,7,0,0,38.063,6
350,B,9.741150510683987,55,31,0.985,7,0,0,36.366,10
351,A,13.886994083692292,28,4,1.116,8,0,0,34.696,14
352,A,13.588291419247373,29,42,1.604,5,0,0,34.816,14
353,B,0.0,63,52,0.749,7,0,0,40.291,0
354,C,10.38560602533994,51,2,0.664,2,0,0,36.107,10
355,B,6.437915395011631,35,35,0.958,8,1,0,37.697,6
356,A,18.171648046664423,24,85,0.854,2,1,1,32.97,18
357,B,16.000283209173475,66,28,0.711,3,1,1,33.844,16
358,A,19.895527116527553,60,97,0.957,1,1,1,32.275,20
359,B,3.385301571242559,32,8,0.508,2,0,0,38.927,3
360,C,7.86881473054174,27,85,0.823,2,0,0,37.121,8
361,C,13.2861890425153,33,53,0.409,2,0,1,34.938,13
362,A,16.12642642137548,67,104,0.589,3,1,0,33.794,16
363,B,11.339204631603089,26,115,1.562,4,0,0,35.723,11
364,B,7.742820427300462,33,42,0.78,3,0,0,37.172,8
365,C,11.013261149594982,20,34,1.347,2,1,0,35.854,11
366,B,13.228940519155868,53,31,0.89,4,1,0,34.961,13
367,B,15.263372163752921,20,43,0.671,5,0,0,34.141,15
368,B,5.181956407554061,56,41,1.17,3,0,0,38.203,5
369,B,15.11967547610191,30,113,0.477,4,0,0,34.199,15
370,B,21.763764056252217,22,78,0.887,5,0,1,31.522,22
371,B,9.604218102046783,69,57,1.461,8,0,0,36.422,10
372,A,17.394653483351007,66,5,0.688,3,0,0,33.283,17
373,C,8.79318721663775,21,42,1.438,1,0,0,36.748,9
374,B,0.0,26,114,1.141,1,0,0,40.291,0
375,B,27.039675532308678,67,47,0.627,2,1,1,29.397,27
376,A,9.708818719461114,42,63,0.66,2,0,0,36.379,10
377,A,23.2890889775385,38,41,1.107,3,1,1,30.908,23
378,B,17.45828251175134,62,75,1.457,2,0,1,33.257,17
379,B,9.694144408126089,41,21,0.998,5,0,0,36.385,10
380,C,14.801630211539619,43,74,0.976,3,0,0,34.327,15
381,B,16.731513362770833,39,23,1.337,3,1,1,33.55,17
382,A,15.596283046228063,48,61,1.654,5,0,0,34.007,16
383,B,16.622993624842255,61,101,1.226,6,1,0,33.594,17
384,A,13.821454575033952,23,1,1.032,4,1,0,34.722,14
385,C,7.817231702435027,37,73,0.828,8,1,0,37.142,8
386,C,11.800772885966367,66,19,1.28,4,0,0,35.537,12
387,A,22.675718781078785,41,102,0.915,4,1,0,31.155,23
388,A,17.473515317967937,33,93,1.223,5,0,0,33.251,17
389,B,16.1091840415966,30,34,1.106,3,0,1,33.801,16
390,C,12.444007167333112,19,97,0.811,1,0,0,35.277,12
391,A,15.14376809907813,57,99,0.625,5,0,0,34.19,15
392,A,15.013536173381455,49,39,0.798,3,0,1,34.242,15
393,A,19.15960883416782,49,86,0.853,4,0,1,32.572,19
394,B,22.19628913171222,53,1,1.239,4,0,1,31.348,22
395,A,19.941094911930243,48,5,1.355,4,1,1,32.257,20
396,A,3.961083731484976,61,76,0.972,5,0,0,38.695,4
397,B,17.738513008367743,58,56,0.516,7,0,1,33.144,18
398,B,7.767721585705517,48,36,0.279,3,0,0,37.161,8
399,A,21.651754252141295,22,22,1.334,4,1,0,31.567,22
400,B,7.779533160676999,25,35,1.02,6,0,0,37.157,8
401,B,19.819617113879822,62,83,0.995,4,0,0,32.306,20
402,B,11.953984522005326,41,25,0.839,4,0,0,35.475,12
403,C,10.432853330090776,26,94,1.289,5,0,0,36.088,10
404,A,5.840022351707365,22,27,1.262,1,0,0,37.938,6
405,B,14.29170408425999,55,86,0.455,1,0,0,34.533,14
406,C,12.594030235485864,20,105,0.769,2,0,1,35.217,13
407,C,5.31949777345963,49,68,1.314,4,0,0,38.148,5
408,B,12.186209720219564,40,42,0.67,5,0,0,35.381,12
409,B,18.98740032598091,62,40,0.852,5,0,1,32.641,19
410,A,19.006972935049642,51,50,1.183,2,0,0,32.633,19
411,B,15.585924364804402,60,76,1.274,5,0,0,34.011,16
412,B,9.080242232476959,24,113,1.54,5,0,0,36.633,9
413,B,4.021481130675346,61,48,0.926,3,0,0,38.671,4
414,A,22.396995490938487,20,66,0.773,1,0,0,31.267,22
415,C,9.208818786980885,64,104,0.69,6,0,0,36.581,9
416,C,5.599032239042402,61,83,0.636,2,0,0,38.035,6
417,C,7.057768593652369,25,114,1.503,4,0,0,37.448,7
418,B,9.657980519724573,22,33,0.851,2,0,0,36.4,10
419,B,26.635117499138545,54,21,0.721,1,1,1,29.56,27
420,C,7.672233021254112,55,5,1.503,2,0,0,37.2,8
421,A,14.169518185324922,29,84,0.967,2,0,0,34.582,14
422,A,14.843795118184666,37,13,1.221,3,0,0,34.31,15
423,B,25.020163296882885,58,73,1.397,4,1,1,30.21,25
424,B,15.257030688250468,51,89,1.113,3,0,1,34.144,15
425,C,8.080996029460563,66,105,1.154,3,0,0,37.035,8
426,A,20.382276208105246,27,92,0.485,0,0,1,32.079,20
427,B,13.844644592033458,25,18,0.647,4,0,0,34.713,14
428,A,13.419783384042045,28,36,1.122,3,1,0,34.884,13
429,B,12.439237868511073,19,41,1.506,4,0,0,35.279,12
430,A,15.075402890965185,44,40,0.806,4,0,0,34.217,15
431,C,8.990689295441213,23,91,0.757,3,0,0,36.669,9
432,A,29.170905426587108,19,2,0.868,7,1,1,28.538,29
